"","Character","Occupation","Category","appearances","HigherCategory","Rank","Rank2","id"
"1","Adam Driver","American actor","Acting Entertainer","1","Entertainer","-0.5","1","1"
"2","Adam West","American actor whose career spans six decades","Acting Entertainer","1","Entertainer","-0.5","1","2"
"3","Adrien Brody","American actor","Acting Entertainer","2","Entertainer","-0.5","1","3"
"4","Al Pacino","American actor of stage and screen, filmmaker, and screenwriter","Acting Entertainer","12","Entertainer","-0.5","1","4"
"5","Alan Alda","American actor, director, screenwriter, and author","Acting Entertainer","5","Entertainer","-0.5","1","5"
"6","Alan Rickman","English actor and director known for playing a variety of roles on stage and on screen","Acting Entertainer","2","Entertainer","-0.5","1","6"
"7","Alec Baldwin","American actor, writer, producer, and comedian","Acting Entertainer","1","Entertainer","-0.5","1","7"
"8","Alfre Woodard","American film, stage, and television actress, producer, and political activist","Acting Entertainer","1","Entertainer","-0.5","1","8"
"9","Alfred Hitchcock","English film director and producer, at times referred to as ""The Master of Suspense""","Acting Entertainer","4","Entertainer","-0.5","1","9"
"10","Ali MacGraw","American actress, model, author, and animal rights activist","Acting Entertainer","1","Entertainer","-0.5","1","10"
"11","Allen Funt","American television producer, director, writer and television personality best known as the creator and host of Candid Camera from the 1940s to 1980s","Acting Entertainer","1","Entertainer","-0.5","1","11"
"12","Alyson Hannigan","American actress","Acting Entertainer","1","Entertainer","-0.5","1","12"
"13","Ananda Lewis","American television personality, model and social activist","Acting Entertainer","2","Entertainer","-0.5","1","13"
"14","Andie MacDowell","American actress and fashion model","Acting Entertainer","3","Entertainer","-0.5","1","14"
"15","André the Giant","French professional wrestler and actor","Acting Entertainer","1","Entertainer","-0.5","1","15"
"16","Andrew Dice Clay","American comedian and actor","Acting Entertainer","2","Entertainer","-0.5","1","16"
"17","Andrew McCarthy","American actor, travel writer and television director","Acting Entertainer","1","Entertainer","-0.5","1","17"
"18","Andy Azula","creative director for The Martin Agency, well known for starring in a series of ads for UPS","Acting Entertainer","2","Entertainer","-0.5","1","18"
"19","Angelina Jolie","American actress, filmmaker, and humanitarian","Acting Entertainer","8","Entertainer","-0.5","1","19"
"20","Anjelica Huston","American actress, director and former fashion model","Acting Entertainer","1","Entertainer","-0.5","1","20"
"21","Ann B. Davis","American actress","Acting Entertainer","1","Entertainer","-0.5","1","21"
"22","Anna Faris","American actress","Acting Entertainer","2","Entertainer","-0.5","1","22"
