"","Character","Category","year","count"
"1","Arnold Schwarzenegger","Acting Entertainer",1984,1
"2","Arnold Schwarzenegger","Acting Entertainer",1999,1
"3","Arnold Schwarzenegger","Acting Entertainer",2001,1
"4","Arnold Schwarzenegger","Acting Entertainer",2003,2
"5","Arnold Schwarzenegger","Acting Entertainer",2004,2
"6","Arnold Schwarzenegger","Acting Entertainer",2005,1
"7","Arnold Schwarzenegger","Acting Entertainer",2006,2
"8","Arnold Schwarzenegger","Acting Entertainer",2007,1
"9","Arnold Schwarzenegger","Acting Entertainer",2009,1
"10","Arnold Schwarzenegger","Acting Entertainer",2012,1
"11","Burt Reynolds","Acting Entertainer",1988,2
"12","Burt Reynolds","Acting Entertainer",1989,1
"13","Burt Reynolds","Acting Entertainer",1991,1
"14","Burt Reynolds","Acting Entertainer",1993,2
"15","Burt Reynolds","Acting Entertainer",1996,2
"16","Burt Reynolds","Acting Entertainer",1997,6
"17","Burt Reynolds","Acting Entertainer",1998,2
"18","Burt Reynolds","Acting Entertainer",1999,1
"19","Burt Reynolds","Acting Entertainer",2009,1
"20","Burt Reynolds","Acting Entertainer",2015,1
"21","Fernando Lamas","Acting Entertainer",1977,1
"22","Fernando Lamas","Acting Entertainer",1984,6
"23","Fernando Lamas","Acting Entertainer",1985,5
"24","Fernando Lamas","Acting Entertainer",1999,1
"25","Matthew McConaughey","Acting Entertainer",2009,1
"26","Matthew McConaughey","Acting Entertainer",2012,1
"27","Matthew McConaughey","Acting Entertainer",2013,6
"28","Matthew McConaughey","Acting Entertainer",2014,5
"29","Matthew McConaughey","Acting Entertainer",2015,1
"30","Phil Donahue","Acting Entertainer",1982,1
"31","Phil Donahue","Acting Entertainer",1984,1
"32","Phil Donahue","Acting Entertainer",1986,1
"33","Phil Donahue","Acting Entertainer",1987,2
"34","Phil Donahue","Acting Entertainer",1989,2
"35","Phil Donahue","Acting Entertainer",1995,1
"36","Phil Donahue","Acting Entertainer",1996,1
"37","Phil Donahue","Acting Entertainer",1997,1
"38","Phil Donahue","Acting Entertainer",1998,1
"39","Phil Donahue","Acting Entertainer",2002,1
"40","Phil Donahue","Acting Entertainer",2004,1
"41","Sean Connery","Acting Entertainer",1996,1
"42","Sean Connery","Acting Entertainer",1998,2
"43","Sean Connery","Acting Entertainer",1999,4
"44","Sean Connery","Acting Entertainer",2000,2
"45","Sean Connery","Acting Entertainer",2001,3
"46","Sean Connery","Acting Entertainer",2002,1
"47","Sean Connery","Acting Entertainer",2004,1
"48","Sean Connery","Acting Entertainer",2005,2
"49","Sean Connery","Acting Entertainer",2007,1
"50","Sean Connery","Acting Entertainer",2008,1
"51","Sean Connery","Acting Entertainer",2009,1
