"","Character","Actor","AirDate","Sketch"
"1","Squeaky Fromme","Laraine Newman",1975-10-25,"Dangerous But Inept"
"2","Squeaky Fromme","Laraine Newman",1976-07-24,"Human Hair Potholders"
"3","Joe Cocker","John Belushi",1975-10-25,"With A Little Help From My Friends"
"4","Joe Cocker","John Belushi",1976-04-24,"Monologue"
"5","Joe Cocker","John Belushi",1976-04-24,"Welcome Back"
"6","Joe Cocker","John Belushi",1976-05-15,"Daylight"
"7","Joe Cocker","John Belushi",1976-10-02,"Feelin' Alright"
"8","Gerald Ford","Chevy Chase",1975-11-08,"Ford Speech"
"9","Gerald Ford","Chevy Chase",1975-11-22,"Oval Office"
"10","Gerald Ford","Chevy Chase",1975-12-20,"Christmas Eve At The White House"
"11","Gerald Ford","Chevy Chase",1976-01-17,"An Oval Office"
"12","Gerald Ford","Chevy Chase",1976-02-21,"Ford's Shrink"
"13","Gerald Ford","Chevy Chase",1976-03-13,"A President's View On Marijuana"
"14","Gerald Ford","Chevy Chase",1976-03-13,"A President's View On Marijuana"
"15","Gerald Ford","Chevy Chase",1976-03-13,"A President's View On Marijuana"
"16","Gerald Ford","Chevy Chase",1976-04-17,"An Oval Office"
"17","Gerald Ford","Chevy Chase",1976-07-31,"Ford Delegate"
"18","Gerald Ford","Chevy Chase",1976-09-18,"Debate '76"
"19","Gerald Ford","Chevy Chase",1976-10-16,"Debate '76"
"20","Gerald Ford","Chevy Chase",1976-10-30,"Debate '76"
"21","Gerald Ford","Chevy Chase",1978-02-18,"A Former President Speaks To The Nation"
"22","Gerald Ford","Chevy Chase",1980-02-09,"Rancho Houso"
"23","Gerald Ford","Chevy Chase",1985-11-16,"Ford & Reagan"
"24","Catherine Deneuve","Candice Bergen",1975-11-08,"Chanel"
"25","Greg Allman","Chevy Chase",1975-11-15,"Greg Allman, How's Your Love Life?"
"26","Sam Peckinpah","John Belushi",1975-11-15,"Tough Director"
"27","Grace Kelly","Candice Bergen",1975-12-20,"Tarn-Off"
"28","Ron Nessen","Buck Henry",1976-01-17,"An Oval Office"
"29","Betty Ford","Jane Curtin",1976-01-31,"Dance To The Nation"
"30","Betty Ford","Jane Curtin",1976-07-31,"Ford Delegate"
"31","Betty Ford","Jane Curtin",1976-10-30,"Not For First Ladies Only"
"32","Betty Ford","Jane Curtin",1978-02-18,"A Former President Speaks To The Nation"
