"","Character","Occupation","Category"
"1","2 Chainz","Grammy award-winning American rapper from College Park, Georgia","Musical Entertainer"
"2","50 Cent","American rapper, actor, businessman, and investor","Musical / Acting Entertainer"
"3","A.J. Calloway","American television personality, best known for being the first and former host of the popular BET music video countdown show 106 & Park","News Entertainer"
"4","Aaron Brown","American broadcast journalist most recognized for his coverage of the September 11, 2001 attacks, his first day on air at CNN","News Entertainer"
"5","Aaron Buerge","American businessman and television personality, best known for the role in The Bachelor","Reality TV Star"
"6","Aaron Carter","American singer","Musical Entertainer"
"7","Aaron Neville","American R&B singer and musician","Musical Entertainer"
"8","Abdullah Ahmad Badawi","Malaysian politician who served as Prime Minister of Malaysia from 2003 to 2009","Non-U.S. Politician"
"9","Abigail Breslin","American actress and singer","Musical / Acting Entertainer"
"10","Adam Driver","American actor","Acting Entertainer"
"11","Adam Duritz","American musician, songwriter, record producer, and film producer","Musical / Acting Entertainer"
"12","Adam Lambert","American singer, songwriter and stage actor","Musical / Acting Entertainer"
"13","Adam Levine","American singer, songwriter, multi-instrumentalist, actor, and record producer","Musical / Acting Entertainer"
"14","Adam Sandler","American actor, comedian, screenwriter, film producer, and musician","Musical / Acting Entertainer"
"15","Adam Silver","American lawyer and the commissioner of the National Basketball Association (NBA)","Law Professional"
"16","Adam West","American actor whose career spans six decades","Acting Entertainer"
"17","Adele","English singer-songwriter","Musical Entertainer"
"18","Adolf Hitler","German politician who was the leader of the Nazi Party (Nationalsozialistische Deutsche Arbeiterpartei; NSDAP), Chancellor of Germany from 1933 to 1945, and Führer (""Leader"") of Nazi Germany from 1934 to 1945","Non-U.S. Politician"
"19","Adrien Brody","American actor","Acting Entertainer"
"20","Ahmed Zaki Yamani","Saudi Arabian politician who was Minister of Oil (Petroleum) and Mineral Resources from 1962 to 1986, and a minister in OPEC for 25 years","Non-U.S. Politician"
"21","Aidan Key","education, author, speaker, and community organizer. Known as a guest on Oprah","Writer"
"22","Akbar Gbaja-Biamila","former professional American football player who currently is the co-host for American Ninja Warrior and works as a sports analyst for the NFL Network","Athlete / News Entertainer"
"23","Al Cowlings","former American football player","Athlete"
"24","Al D'Amato","American lawyer and former New York politician","U.S. Politician"
"25","Al Franken","American politician, comedian, actor, and writer","U.S. Politician"
"26","Al Goldstein","American pornographer","Other Entertainer"
"27","Al Gore","American politician and environmentalist who served as the 45th Vice President of the United States from 1993 to 2001 under President Bill Clinton","U.S. Politician"
"28","Al Hirt","American trumpeter and bandleader","Musical Entertainer"
"29","Al Michaels","American television sportscaster","News Entertainer"
"30","Al Pacino","American actor of stage and screen, filmmaker, and screenwriter","Acting Entertainer"
"31","Al Reynolds","former American college and professional football guard who played eight seasons in the American Football League from 1960-1967 for the Dallas Texans and Kansas City Chiefs","Athlete"
"32","Al Roker","American television personality, weather forecaster, actor, and book author","News Entertainer"
"33","Al Sharpton","American civil rights activist, Baptist minister, television/radio talk show host and a trusted White House adviser","News Entertainer"
"34","Alan Alda","American actor, director, screenwriter, and author","Acting Entertainer"
"35","Alan Arkin","American actor, director, comedian, musician, and singer","Musical / Acting Entertainer"
"36","Alan Cranston","American politician and journalist who served as a United States Senator from California, from 1969 to 1993","U.S. Politician"
"37","Alan Dershowitz","American lawyer, jurist, and author","Law Professional"
"38","Alan Keyes","American conservative political activist, author, former diplomat, and perennial candidate for public office","U.S. Politician"
"39","Alan Mulally","American engineer, business executive, and former President and Chief Executive Officer of the Ford Motor Company","Business Leader"
"40","Alan Osmond","member of the family musical group The Osmonds","Musical Entertainer"
"41","Alan Rickman","English actor and director known for playing a variety of roles on stage and on screen","Acting Entertainer"
"42","Alan Thicke","Canadian actor, songwriter, game and talk show host","Musical / Acting Entertainer"
"43","Alana Thompson","American reality television star on Here Comes Honey Boo Boo, best known as ""Honey Boo Boo""","Reality TV Star"
"44","Alanis Morissette","Canadian-American alternative rock singer-songwriter, musician, multi-instrumentalist, record producer, and actress","Musical / Acting Entertainer"
"45","Albert Einstein","German-born theoretical physicist","Scientist"
"46","Albert Goldman","American professor and author","Writer"
"47","Alberto Gonzales","80th United States Attorney General, appointed in February 2005 by President George W. Bush, becoming the highest-ranking Hispanic American in executive government to date","U.S. Politician"
"48","Alec Baldwin","American actor, writer, producer, and comedian","Acting Entertainer"
"49","Alec John Such","retired American musician","Musical Entertainer"
"50","Alex Haley","American writer and the author of the 1976 book Roots: The Saga of an American Family","Writer"
"51","Alex Rodriguez","former Dominican American professional baseball shortstop and third baseman","Athlete"
"52","Alex Trebek","Canadian-American television personality","News Entertainer"
"53","Alfonso Ribeiro","American actor, television director, dancer, and show host","Musical / Acting Entertainer"
"54","Alfre Woodard","American film, stage, and television actress, producer, and political activist","Acting Entertainer"
"55","Alfred Hitchcock","English film director and producer, at times referred to as ""The Master of Suspense""","Acting Entertainer"
"56","Ali Abdullah Saleh","Yemeni politician who was ousted as President of Yemen in 2012","U.S. Politician"
"57","Ali MacGraw","American actress, model, author, and animal rights activist","Acting Entertainer"
"58","Alice Walker","American novelist, short story writer, poet, and activist","Writer"
"59","Alicia Keys","American singer, songwriter, pianist and actress","Musical / Acting Entertainer"
"60","Aliza Begin","wife of Prime Minister Menachem Begin of Israel","other"
"61","Allen Funt","American television producer, director, writer and television personality best known as the creator and host of Candid Camera from the 1940s to 1980s","Acting Entertainer"
"62","Allison Williams","American actress, comedian, and singer best known for her role as Marnie Michaels on the HBO comedy-drama series Girls","Musical / Acting Entertainer"
"63","Alvin Parks Jr.","Politician, Mayor of East St. Louis from 2007-2015","U.S. Politician"
"64","Alyson Hannigan","American actress","Acting Entertainer"
"65","Amanda Byram","Irish television presenter and former model, best known for co-presenting BBC One game show Total Wipeout with Richard Hammond, and for hosting the American television show, Paradise Hotel","News Entertainer"
"66","Amber Theoharis","co-host for NFL Network on NFL Total Access","News Entertainer"
"67","Amelia Earhart","American aviation pioneer and author","other"
"68","Amelia Henry","Contestant on reality TV's The Apprentice","Reality TV Star"
"69","Amy Carter","only daughter of former U.S. President Jimmy Carter and his wife Rosalynn Carter","U.S. Political Family"
"70","Amy Fisher","American woman who became known as ""the Long Island Lolita"" by the media in 1992, when, at the age of 17, she shot and severely wounded Mary Jo Buttafuoco, the wife of her illicit lover Joey Buttafuoco","Criminal"
"71","Amy Ray","American singer-songwriter and member of the contemporary folk duo Indigo Girls","Musical Entertainer"
"72","Ananda Lewis","American television personality, model and social activist","Acting Entertainer"
"73","Anderson Cooper","American journalist, television personality, and author","News Entertainer"
"74","Andie MacDowell","American actress and fashion model","Acting Entertainer"
"75","Andre 3000","American rapper, singer, songwriter, record producer, dancer, and actor, best known for being part of hip hop duo Outkast alongside fellow rapper Big Boi","Musical / Acting Entertainer"
