"","AirDate","Season"
"1",1975-10-25,"1"
"2",1975-11-08,"1"
"3",1975-11-15,"1"
"4",1975-11-22,"1"
"5",1975-12-20,"1"
"6",1976-01-17,"1"
"7",1976-01-31,"1"
"8",1976-02-14,"1"
"9",1976-02-21,"1"
"10",1976-02-28,"1"
"11",1976-03-13,"1"
"12",1976-04-17,"1"
"13",1976-04-24,"1"
"14",1976-05-08,"1"
"15",1976-05-15,"1"
"16",1976-05-22,"1"
"17",1976-05-29,"1"
"18",1976-07-24,"1"
"19",1976-07-31,"1"
"20",1976-09-18,"2"
"21",1976-09-25,"2"
"22",1976-10-02,"2"
"23",1976-10-16,"2"
"24",1976-10-30,"2"
"25",1976-11-13,"2"
"26",1976-11-20,"2"
"27",1976-11-27,"2"
"28",1976-12-11,"2"
"29",1977-01-15,"2"
"30",1977-01-22,"2"
"31",1977-01-29,"2"
"32",1977-02-20,"2"
"33",1977-02-26,"2"
"34",1977-03-12,"2"
"35",1977-03-19,"2"
"36",1977-03-26,"2"
"37",1977-04-09,"2"
"38",1977-04-16,"2"
"39",1977-04-23,"2"
"40",1977-05-14,"2"
"41",1977-05-21,"2"
"42",1977-09-24,"3"
"43",1977-10-08,"3"
"44",1977-10-15,"3"
"45",1977-11-12,"3"
"46",1977-11-19,"3"
"47",1977-12-10,"3"
"48",1977-12-17,"3"
"49",1978-01-21,"3"
"50",1978-01-28,"3"
"51",1978-02-18,"3"
"52",1978-02-25,"3"
"53",1978-03-11,"3"
"54",1978-03-18,"3"
"55",1978-03-25,"3"
"56",1978-04-08,"3"
"57",1978-04-15,"3"
"58",1978-04-22,"3"
"59",1978-05-13,"3"
"60",1978-05-20,"3"
"61",1978-10-07,"4"
"62",1978-10-14,"4"
"63",1978-10-21,"4"
"64",1978-11-04,"4"
"65",1978-11-11,"4"
"66",1978-11-18,"4"
"67",1978-12-02,"4"
"68",1978-12-09,"4"
"69",1978-12-16,"4"
"70",1979-01-27,"4"
"71",1979-02-10,"4"
"72",1979-02-17,"4"
"73",1979-02-24,"4"
"74",1979-03-10,"4"
"75",1979-03-17,"4"
"76",1979-04-07,"4"
"77",1979-04-14,"4"
"78",1979-05-12,"4"
"79",1979-05-19,"4"
"80",1979-05-26,"4"
"81",1979-10-13,"5"
"82",1979-10-20,"5"
"83",1979-11-03,"5"
"84",1979-11-10,"5"
"85",1979-12-08,"5"
"86",1979-12-15,"5"
"87",1979-12-22,"5"
"88",1980-01-26,"5"
"89",1980-02-09,"5"
"90",1980-02-16,"5"
"91",1980-02-23,"5"
"92",1980-03-08,"5"
"93",1980-03-15,"5"
"94",1980-04-05,"5"
"95",1980-04-12,"5"
"96",1980-04-19,"5"
"97",1980-05-10,"5"
"98",1980-05-17,"5"
"99",1980-05-24,"5"
"100",1980-11-15,"6"
"101",1980-11-22,"6"
"102",1980-12-06,"6"
"103",1980-12-13,"6"
"104",1980-12-20,"6"
"105",1981-01-10,"6"
"106",1981-01-17,"6"
"107",1981-01-24,"6"
"108",1981-02-07,"6"
"109",1981-02-14,"6"
"110",1981-02-21,"6"
"111",1981-03-07,"6"
"112",1981-04-11,"6"
"113",1981-10-03,"7"
"114",1981-10-10,"7"
"115",1981-10-17,"7"
"116",1981-10-31,"7"
"117",1981-11-07,"7"
"118",1981-11-14,"7"
"119",1981-12-05,"7"
"120",1981-12-12,"7"
"121",1982-01-23,"7"
"122",1982-01-30,"7"
"123",1982-02-06,"7"
"124",1982-02-27,"7"
"125",1982-03-20,"7"
"126",1982-03-27,"7"
"127",1982-04-10,"7"
